"Qubit,""T1 (us)"",""T2 (us)"",""Readout assignment error"",""Prob meas0 prep1"",""Prob meas1 prep0"",""Readout length (ns)"",""ID error"",""Single-qubit gate length (ns)"",""RX error"",""Z-axis rotation (rz) error"",""√x (sx) error"",""Pauli-X error"",""XSLOW error"",""CZ error"",""Gate length (ns)"",""RZZ error"",""MEASURE error"",""MEASURE_2 error"",""Operational""";;;;;;
"49,""171.17759453457595"",""90.3369331748883"",""0.0091552734375"",""0.011474609375"",""0.0068359375"",""2280"",""0.000269993808178305"",""32"",""0.000269993808178305"",""0"",""0.000269993808178305"",""0.000269993808178305"",""0.000269993808178305"",""48:0.0021683723902420904";50:0.002173197999118498;"38:0.0016579054233935575"",""48:68";50:68;"38:68"",""48:0.002246767083579765";50:0.0020424461655453308;"38:0.001602967654958598"",""0.0091552734375"",""0.00634765625"",""Yes"""
"50,""193.3850935311675"",""187.99756495751942"",""0.004638671875"",""0.008056640625"",""0.001220703125"",""2280"",""0.00026031445059006026"",""32"",""0.00026031445059006026"",""0"",""0.00026031445059006026"",""0.00026031445059006026"",""0.00026031445059006026"",""49:0.002173197999118498";"51:0.0016667694016149759"",""49:68";"51:68"",""49:0.0020424461655453308";"51:0.0014891472465275168"",""0.004638671875"",""0.025634765625"",""Yes""";;;
"51,""192.2902440998725"",""169.44989157820632"",""0.021240234375"",""0.028076171875"",""0.014404296875"",""2280"",""0.0001934845593770791"",""32"",""0.0001934845593770791"",""0"",""0.0001934845593770791"",""0.0001934845593770791"",""0.0001934845593770791"",""50:0.0016667694016149759";52:0.002442310531303532;"58:0.0026913013494486715"",""50:68";52:68;"58:68"",""50:0.0014891472465275168";52:0.002032932937667792;"58:0.0018718958763946358"",""0.021240234375"",""0.01708984375"",""Yes"""
"52,""182.02107929039767"",""49.38495003713887"",""0.0184326171875"",""0.031494140625"",""0.00537109375"",""2280"",""0.0002982962993435279"",""32"",""0.0002982962993435279"",""0"",""0.0002982962993435279"",""0.0002982962993435279"",""0.0002982962993435279"",""51:0.002442310531303532";"53:0.0017076011857035944"",""51:68";"53:68"",""51:0.002032932937667792";"53:0.0018735702102626872"",""0.0184326171875"",""0.015380859375"",""Yes""";;;
"53,""226.07479314382033"",""73.93736318027561"",""0.0059814453125"",""0.00732421875"",""0.004638671875"",""2280"",""0.00017177436664801306"",""32"",""0.00017177436664801306"",""0"",""0.00017177436664801306"",""0.00017177436664801306"",""0.00017177436664801306"",""39:0.0019728970668279333";52:0.0017076011857035944;"54:0.001600753896818713"",""39:68";52:68;"54:68"",""39:0.0016764316387279654";52:0.0018735702102626872;"54:0.0018153241625832595"",""0.0059814453125"",""0.005615234375"",""Yes"""
"54,""218.77898483115652"",""147.34680999755855"",""0.029296875"",""0.03369140625"",""0.02490234375"",""2280"",""0.0001984324429800799"",""32"",""0.0001984324429800799"",""0"",""0.0001984324429800799"",""0.0001984324429800799"",""0.0001984324429800799"",""53:0.001600753896818713";"55:0.00198768141212885"",""53:68";"55:68"",""53:0.0018153241625832595";"55:0.00248092218821222"",""0.029296875"",""0.2001953125"",""Yes""";;;
"55,""192.15376054745474"",""72.95148954097492"",""0.008544921875"",""0.009521484375"",""0.007568359375"",""2280"",""0.00016001483641968199"",""32"",""0.00016001483641968199"",""0"",""0.00016001483641968199"",""0.00016001483641968199"",""0.00016001483641968199"",""59:0.0012846209017700339";"54:0.00198768141212885"",""59:68";"54:68"",""59:0.0012409367810828353";"54:0.00248092218821222"",""0.008544921875"",""0.012451171875"",""Yes""";;;
"56,""178.41984131544064"",""31.563970082447398"",""0.0123291015625"",""0.021484375"",""0.003173828125"",""2280"",""0.0003451076153674375"",""32"",""0.0003451076153674375"",""0"",""0.0003451076153674375"",""0.0003451076153674375"",""0.0003451076153674375"",""63:0.0018017297432208756";"43:0.0024940139842680453"",""63:68";"43:68"",""63:0.0019957329852435812";"43:0.002874876000279525"",""0.0123291015625"",""0.015869140625"",""Yes""";;;
"57,""167.1726286849574"",""202.38905157965323"",""0.0068359375"",""0.010498046875"",""0.003173828125"",""2280"",""0.0003004394850350448"",""32"",""0.0003004394850350448"",""0"",""0.0003004394850350448"",""0.0003004394850350448"",""0.0003004394850350448"",""47:0.0019491933240723958";"67:0.0018587637934330825"",""47:68";"67:68"",""47:0.0018670721733782814";"67:0.0021613182446262036"",""0.0068359375"",""0.010986328125"",""Yes""";;;
"58,""182.16173103929998"",""120.21424122343345"",""0.0152587890625"",""0.011962890625"",""0.0185546875"",""2280"",""0.00017739274413468243"",""32"",""0.00017739274413468243"",""0"",""0.00017739274413468243"",""0.00017739274413468243"",""0.00017739274413468243"",""71:0.0017544538107520935";"51:0.0026913013494486715"",""71:68";"51:68"",""71:0.001281323364674486";"51:0.0018718958763946358"",""0.0152587890625"",""0.021484375"",""Yes""";;;
